GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-2441	SAR2462	hypothetical protein	
GJA5-1769	SAR1817	hypothetical protein	Q6GFW9
GJA5-41	SAR0036	hypothetical protein	
GJA5-551	tuf	elongation factor Tu	
GJA5-2442	SAR2463	hypothetical protein	
GJA5-1184	trmD	tRNA (guanine-N(1)-)-methyltransferase	
GJA5-742	SAR0767	para-aminobenzoate synthase component	
GJA5-1770	murC	UDP-N-acetylmuramate--L-alanine ligase	
GJA5-2443	SAR2464	TetR family regulatory protein	
GJA5-1771	SAR1819	FtsK/SpoIIIE family protein	
GJA5-682	SAR0697	ABC transporter ATP-binding protein	
GJA5-2444	SAR2465	CorA-like Mg2+ transporter protein	
GJA5-415	SAR0432	hypothetical protein	
GJA5-1772	SAR1820	hypothetical protein	
GJA5-2445	scrA	PTS system, sucrose-specific IIBC component	
GJA5-42	ugpQ	glycerophosphoryl diester phosphodiesterase	
GJA5-1773	SAR1821	hypothetical protein	Q6GFW5
GJA5-2446	SAR2467	hypothetical protein	
GJA5-1185	rplS	50S ribosomal protein L19	
GJA5-1051	SAR1085	hypothetical protein	
GJA5-1774	SAR1822	thioredoxin	
GJA5-2447	SAR2468	AraC family transcription regulator	
GJA5-1924	SARt047	tRNA-Leu	
GJA5-1775	SAR1823	aminopeptidase	
GJA5-683	SAR0698	transposase	
GJA5-2448	SAR2469	hypothetical protein	
GJA5-1776	SAR1824	hypothetical protein	
GJA5-953	SAR0985	hypothetical protein	Q6GI69
GJA5-2449	SAR2470	hypothetical protein	
GJA5-552	SAR0554	peptidase	
GJA5-43	SAR0038	hypothetical protein	
GJA5-1777	SAR1825	metallo-beta-lactamase superfamily protein	
GJA5-2450	SAR2471	transposase	
GJA5-1186	SAR1218	hypothetical protein	
GJA5-743	SAR0768	para-aminobenzoate synthetase component	
GJA5-2451	gltT	proton/sodium-glutamate symport protein	
GJA5-1778	SAR1826	ATP-binding protein	
GJA5-684	SAR0702	hypothetical protein	
GJA5-2452	SAR2473	hypothetical protein	
GJA5-1779	SAR1827	transposase	
GJA5-416	SAR0433	type I restriction enzyme modification protein	
GJA5-2453	SAR2474	MarR family regulatory protein	
GJA5-1780	tnpR	resolvase	
GJA5-44	mecA	penicillin-binding protein 2 prime	
GJA5-2454	SAR2475	small heat shock protein	
GJA5-1052	SAR1086	hypothetical protein	Q6GHX3
GJA5-1187	rbgA	ribosomal biogenesis GTPase	
GJA5-1781	blaI	penicillinase repressor	
GJA5-2455	narT	nitrite transport protein	
GJA5-1782	blaR1	beta-lactamase regulatory protein	
GJA5-685	SAR0703	plasmid replication initiation protein	
GJA5-858	SAR0886	5'-nucleotidase	
GJA5-2456	SAR2477	hypothetical protein	
GJA5-1783	blaZ	beta-lactamase precursor	
GJA5-2457	SAR2480	response regulator	
GJA5-45	mecR1	methicillin resistance protein MecR1	
GJA5-553	kbl	2-amino-3-ketobutyrate coenzyme A ligase	Q6GJB8
GJA5-2458	SAR2481	histidine kinase	
GJA5-1188	rnhB	ribonuclease HII	
GJA5-1784	SAR1832	hypothetical protein	
GJA5-744	SAR0769	hypothetical protein	
GJA5-2459	SAR2482	hypothetical protein	
GJA5-686	SAR0704	DNA-binding protein	
GJA5-2460	narI	nitrate reductase gamma chain	
GJA5-1785	trmB	tRNA (guanine-N(7)-)-methyltransferase	
GJA5-417	SAR0434	restriction and modification system specificity protein	
GJA5-2461	narJ	respiratory nitrate reductase delta chain	
GJA5-1786	SAR1834	hypothetical protein	
GJA5-46	mecI	methicillin resistance regulatory protein MecI	
GJA5-2462	narH	nitrate reductase subunit beta	
GJA5-1189	sucC	succinyl-CoA synthetase subunit beta	
GJA5-1053	SAR1087	cell division protein	
GJA5-2463	narG	nitrate reductase subunit alpha	
GJA5-1787	dat	D-alanine aminotransferase	
GJA5-687	SAR0705	hypothetical protein	
GJA5-1788	SAR1836	dipeptidase PepV	Q6GFV0
GJA5-2464	SAR2487	tetrapyrrole (corrin/porphyrin) methylase	
GJA5-954	SAR0986	hypothetical protein	
GJA5-1868	SARt020	tRNA-Gly	
GJA5-1789	SAR1837	hypothetical protein	
GJA5-47	SAR0042	hypothetical protein	
GJA5-554	SAR0556	chaperone protein HchA	
GJA5-1190	SAR1222	succinyl-CoA synthetase subunit alpha	
GJA5-2465	nasE	assimilatory nitrite reductase small subunit	
GJA5-745	SAR0770	hypothetical protein	
GJA5-1790	SAR1838	RNA pseudouridine synthase	
GJA5-1925	SARt048	tRNA-Lys	
GJA5-1791	SAR1839	polysaccharide biosynthesis protein	
GJA5-688	SAR0706	hypothetical protein	
GJA5-418	SAR0435	superantigen-like protein	
GJA5-2466	nasD	nitrite reductase large subunit	
GJA5-1792	SAR1840	hypothetical protein	
GJA5-2467	SAR2490	hypothetical protein	
GJA5-1191	lytN	cell wall hydrolase	
GJA5-1054	SAR1088	pyruvate carboxylase	
GJA5-2468	SAR2491	acetyltransferase (GNAT) family protein	
GJA5-1793	sasC	surface anchored protein	
GJA5-2469	SAR2493	nitrite transporter	
GJA5-1794	SAR1842	hypothetical protein	
GJA5-689	SAR0710	hypothetical protein	
GJA5-859	lipA	lipoyl synthase	
GJA5-2470	SAR2494	hypothetical protein	
GJA5-1795	leuS	leucyl-tRNA synthetase	
GJA5-2471	SAR2495	hypothetical protein	
GJA5-49	SAR0046	hypothetical protein	
GJA5-555	SAR0557	ribulokinase	
GJA5-1192	fmhC	FemAB family protein	
GJA5-2472	SAR2496	solute binding lipoprotein	
GJA5-746	SAR0771	hypothetical protein	
GJA5-1796	SAR1844	hypothetical protein	
GJA5-2473	SAR2497	hypothetical protein	
GJA5-690	SAR0714	hypothetical protein	
GJA5-1797	SAR1845	hypothetical protein	
GJA5-419	SAR0436	hypothetical protein	
GJA5-2474	SAR2498	hypothetical protein	
GJA5-1798	SAR1846	hypothetical protein	
GJA5-2475	SAR2499	lipoprotein	
GJA5-50	SAR0047	hypothetical protein	
GJA5-1193	SAR1225	SMF family protein	
GJA5-1055	ctaA	heme A synthase	
GJA5-2476	SAR2500	lipoprotein	
GJA5-1799	rot	repressor of toxins	
GJA5-2477	fmhA	FemAB family protein	
GJA5-514	SARr005	16S ribosomal RNA	
GJA5-691	SAR0715	hypothetical protein	
GJA5-1800	SAR1848	hypothetical protein	
GJA5-2478	SAR2502	ABC transporter ATP-binding protein	
GJA5-955	SAR0987	diacylglycerol glucosyltransferase	
GJA5-1801	SAR1849	proline dehydrogenase	
GJA5-2479	SAR2503	transport system membrane protein	
GJA5-51	SAR0049	hypothetical protein	
GJA5-556	SAR0558	hypothetical protein	Q6GJB5
GJA5-1194	topA	DNA topoisomerase I	
GJA5-2480	SAR2504	extracellular solute-binding lipoprotein	
GJA5-747	SAR0772	sulfatase	
GJA5-1802	ribH	6,7-dimethyl-8-ribityllumazine synthase	
GJA5-2481	SAR2505	transporter	
GJA5-1803	ribA	riboflavin biosynthesis protein	
GJA5-692	SAR0716	hypothetical protein	
GJA5-420	SAR0437	hypothetical protein	
GJA5-2482	gpmA	phosphoglyceromutase	
GJA5-1804	ribE	riboflavin synthase subunit alpha	
GJA5-2483	SAR2507	cation efflux family protein	
GJA5-52	ermA1	rRNA adenine N-6-methyltransferase 1	
GJA5-1805	ribD	bifunctional riboflavin biosynthesis protein	
GJA5-1195	SAR1227	tRNA (uracil-5-)-methyltransferase Gid	
GJA5-1056	ctaB	protoheme IX farnesyltransferase	
GJA5-2484	sbi	IgG-binding protein	
GJA5-1807	SAR1854	hypothetical protein	
GJA5-1926	SARt049	tRNA-Thr	
GJA5-2485	hlgA	gamma-hemolysin component A precursor	
GJA5-1808	arsR2	arsenical resistance operon repressor 2	
GJA5-693	SAR0717	LysR family regulatory protein	
GJA5-860	SAR0888	hypothetical protein	
GJA5-2486	hlgC	gamma-hemolysin component C precursor	
GJA5-1809	arsB2	arsenical pump membrane protein 2	
GJA5-2487	hlgB	gamma-hemolysin component C precursor	
GJA5-557	SAR0559	branched-chain amino acid aminotransferase	
GJA5-53	spc1	streptomycin 3''-adenylyltransferase 1	
GJA5-1810	SAR1857	hypothetical protein	
GJA5-1196	SAR1228	integrase/recombinase	
GJA5-2089	SAR2119	membrane anchored protein	
GJA5-2488	SAR2512	hypothetical protein	
GJA5-748	SAR0773	ABC transporter ATP-binding protein	
GJA5-1811	SAR1858	hypothetical protein	
GJA5-2489	SAR2513	6-carboxyhexanoate--CoA ligase	
GJA5-1812	SAR1859	DNA-binding protein	
GJA5-694	SAR0718	hypothetical protein	
GJA5-421	SAR0438	lipoprotein	
GJA5-2490	SAR2514	8-amino-7-oxononanoate synthase	
GJA5-1813	SAR1860	hypothetical protein	
GJA5-2491	bioB	biotin synthase	
GJA5-54	tnpC1	transposase C 1	
GJA5-1814	SAR1861	hypothetical protein	
GJA5-1197	hslV	ATP-dependent protease peptidase subunit	
GJA5-1057	SAR1091	hypothetical protein	
GJA5-2492	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	
GJA5-1815	SAR1862	CAAX amino terminal protease	
GJA5-2493	SAR2517	dethiobiotin synthetase	
GJA5-1816	SAR1863	hypothetical protein	
GJA5-695	SAR0719	resolvase	
GJA5-2494	SAR2518	ABC transporter ATP-binding protein	
GJA5-1817	SAR1864	translaldolase	
GJA5-956	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase	
GJA5-1869	SARt021	tRNA-His	
GJA5-2495	SAR2519	ABC transporter ATP-binding protein	
GJA5-558	SAR0560	haloacid dehalogenase-like hydrolase	
GJA5-55	tnpB1	transposase B 1	
GJA5-1818	SAR1865	hypothetical protein	
GJA5-1198	hslU	ATP-dependent protease ATP-binding subunit HslU	
GJA5-2496	SAR2519a	hypothetical protein	
GJA5-749	SAR0774	ATP-dependent DNA helicase	
GJA5-1819	SAR1866	camphor resistance protein CrcB	
GJA5-2497	SAR2520	hypothetical protein	
GJA5-1820	SAR1867	CrcB-like protein	
GJA5-696	SAR0720	cation exporting ATPase	
GJA5-422	SAR0439	lipoprotein	Q6GJN2
GJA5-2498	SAR2521	hypothetical protein	
GJA5-1821	SAR1868	aldo/keto reductase	
GJA5-2499	SAR2522	glycerate kinase	
GJA5-56	tnpA1	transposase A 1	
GJA5-1822	SAR1869	hypothetical protein	
GJA5-1199	codY	transcriptional repressor CodY	
GJA5-1058	SAR1092	hypothetical protein	
GJA5-2500	SAR2523	hypothetical protein	
GJA5-1823	SAR1870	S-adenosylmethionine synthetase	
GJA5-2501	SAR2524	transporter protein	
GJA5-1825	pckA	phosphoenolpyruvate carboxykinase	
GJA5-697	SAR0721	multicopper oxidase	
GJA5-861	SAR0889	hypothetical protein	
GJA5-2502	SAR2525	hypothetical protein	
GJA5-1826	SAR1873	hypothetical protein	
GJA5-2503	SAR2526	hypothetical protein	
GJA5-559	SAR0561	deoxyadenosine kinase	
GJA5-57	SAR0056	hypothetical protein	
GJA5-1827	SAR1874	hypothetical protein	
GJA5-1200	rpsB	30S ribosomal protein S2	
GJA5-2504	SAR2527	hypothetical protein	
GJA5-750	SAR0775	ABC transporter ATP-binding protein	
GJA5-1828	SAR1875	hypothetical protein	Q6GFR2
GJA5-2505	SAR2528	amino acid permease	
GJA5-1829	SAR1876	hypothetical protein	
GJA5-698	SAR0722	transposase	
GJA5-423	SAR0442	hypothetical protein	Q6GJN1
GJA5-2506	SAR2529	sodium/hydrogen exchanger family protein	
GJA5-1830	SAR1877	AMP-binding protein	
GJA5-2507	SAR2530	hypothetical protein	
GJA5-58	SAR0057	hypothetical protein	
GJA5-1831	SAR1878	lipoprotein	
GJA5-1201	tsf	elongation factor Ts	
GJA5-1059	SAR1093	hypothetical protein	
GJA5-2508	SAR2531	hypothetical protein	
GJA5-1832	SAR1879	hypothetical protein	
GJA5-1927	SARt050	tRNA-Val	
GJA5-515	SARt012	tRNA-Ile	
GJA5-2509	SAR2532	hypothetical protein	
GJA5-1833	SAR1880	hypothetical protein	
GJA5-699	cadA	cadmium-transporting ATPase	
GJA5-2510	SAR2533	2-dehydropantoate 2-reductase	
GJA5-1834	SAR1881	lipoprotein	
GJA5-957	SAR0989	hypothetical protein	
GJA5-2511	SAR2534	transport protein	
GJA5-560	SAR0562	deoxyadenosine kinase	
GJA5-59	SAR0058	hypothetical protein	
GJA5-1835	SAR1882	hypothetical protein	
GJA5-1202	pyrH	uridylate kinase	
GJA5-2512	opuCD	glycine betaine/carnitine/choline ABC transporter permease	
GJA5-751	SAR0776	ABC transporter permease	
GJA5-1836	SAR1883	hypothetical protein	
GJA5-2513	opuCC	glycine betaine/carnitine/choline-binding lipoprotein precursor	
GJA5-1837	SAR1884	hypothetical protein	
GJA5-700	cadC	cadmium efflux system accessory protein	
GJA5-424	SAR0443	lipoprotein	Q6GJN0
GJA5-2514	opuCB	glycine betaine/carnitine/choline ABC transporter permease	
GJA5-1838	SAR1885	hypothetical protein	
GJA5-2515	opuCA	glycine betaine/carnitine/choline transport ATP-binding protein	
GJA5-60	ccrB	site-specific recombinase	
GJA5-1839	SAR1886	hypothetical protein	
GJA5-1203	frr	ribosome recycling factor	
GJA5-1060	SAR1094	hypothetical protein	
GJA5-2516	SAR2539	hypothetical protein	
GJA5-1840	SAR1889	hypothetical protein	
GJA5-2517	SAR2540	amino acid permease	
GJA5-1841	SAR1890	hypothetical protein	
GJA5-701	SAR0725	Tn554 transposase C	
GJA5-862	SAR0890	hypothetical protein	
GJA5-2518	SAR2541	carboxylesterase	
GJA5-1842	hysA1	hyaluronate lyase precursor 1	
GJA5-2519	SAR2542	transport protein	
GJA5-61	ccrA	site-specific recombinase	
GJA5-561	SAR0563	deaminase	
GJA5-1204	uppS	UDP pyrophosphate synthase	
GJA5-1843	SAR1893	hypothetical protein	
GJA5-2520	SAR2543	hypothetical protein	
GJA5-752	SAR0777	histidinol-phosphate aminotransferase	
GJA5-2521	SAR2544	ABC transporter ATP-binding protein	
GJA5-1844	SAR1894	hypothetical protein	
GJA5-702	SAR0726	transposase	
GJA5-425	SAR0444	lipoprotein	Q6GJM9
GJA5-2522	SAR2545	hypothetical protein	
GJA5-1845	SAR1895	hypothetical protein	
GJA5-2523	SAR2546	lipoprotein	
GJA5-62	SAR0061	hypothetical protein	
GJA5-1061	SAR1095	hypothetical protein	Q6GHW4
GJA5-1205	SAR1237	phosphatidate cytidylyltransferase	
GJA5-1846	SAR1896	hypothetical protein	
GJA5-2524	SAR2547	hypothetical protein	
GJA5-1847	SAR1897	hypothetical protein	
GJA5-2525	SAR2548	hypothetical protein	
GJA5-703	SAR0728	hypothetical protein	
GJA5-1848	SAR1898	type I restriction modification DNA specificity protein	
GJA5-2526	SAR2549	transporter	
GJA5-958	prfC	peptide chain release factor 3	
GJA5-1849	SAR1899	type I restriction modification system modification protein	
GJA5-2527	opp-1F	oligopeptide transporter ATPase	
GJA5-63	SAR0062	hypothetical protein	
GJA5-562	SAR0564	haloacid dehalogenase-like hydrolase	
GJA5-1206	SAR1238	hypothetical protein	Q6GHH3
GJA5-2528	opp-1D	oligopeptide transporter ATPase	
GJA5-753	SAR0778	hypothetical protein	Q6GIR7
GJA5-1851	splE	serine protease	
GJA5-1928	SARr008	5S ribosomal RNA	
GJA5-2529	opp-1C	oligopeptide transporter membrane permease	
GJA5-704	SAR0729	acetyltransferase	
GJA5-1852	SAR1905	serine protease	
GJA5-426	SAR0445	lipoprotein	
GJA5-2530	opp-1B	oligopeptide transporter membrane permease	
GJA5-1853	splC	serine protease	
GJA5-2531	opp-1A	oligopeptide transporter substrate binding protein	
GJA5-64	SAR0063	hypothetical protein	
GJA5-1062	SAR1096	hypothetical protein	
GJA5-1207	proS	prolyl-tRNA synthetase	
GJA5-1854	SAR1908	hypothetical protein	
GJA5-2532	SAR2555	hypothetical protein	
GJA5-1855	SAR1909	hypothetical protein	
GJA5-2533	SAR2556	hypothetical protein	
GJA5-705	SAR0730	hypothetical protein	
GJA5-863	SAR0891	haloacid dehalogenase-like hydrolase	
GJA5-1856	SAR1910	hypothetical protein	
GJA5-2534	SAR2557	hypothetical protein	
GJA5-1857	SAR1911	hypothetical protein	
GJA5-2535	SAR2558	hypothetical protein	
GJA5-65	SAR0066	transposase	
GJA5-563	SAR0565	hypothetical protein	
GJA5-1208	polC	DNA polymerase III PolC	
GJA5-1858	SAR1913	hypothetical protein	
